Filename,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
54.wav,-595.73444,79.5565,26.819607,28.799715,11.9669285,3.5750349,0.9822533,4.415467,-0.14446524,8.44482,-4.02029,2.1195223,-6.2425156,103.940674,71.29128,23.966959,19.78362,17.333008,16.404264,12.471946,8.4845495,5.9553165,6.714929,6.3861227,5.9255996,9.901033
40.wav,-567.46185,105.15253,16.350082,27.153976,6.366155,-0.7876979,-1.8449473,6.2415657,-6.4402623,2.2777278,-2.5785685,8.433333,-1.8172773,121.13899,77.61134,27.636333,20.766861,16.258722,16.872225,15.143412,11.346399,9.153979,9.534265,8.74924,10.160844,8.207367
22.wav,-568.1761,104.5737,22.195463,28.4064,4.6795883,-0.15459295,0.8457595,7.1368756,-6.147668,5.060907,-2.8450754,6.2768345,-4.017863,119.63968,79.740746,35.11061,22.054771,18.244877,16.892773,9.408424,8.033839,9.977923,7.024752,8.329836,8.591717,8.124857
70.wav,-562.9509,110.89288,17.609179,19.66692,12.168729,-4.898424,-3.1587203,6.5761704,2.523312,-0.4382698,-0.7873021,3.736452,0.61043423,119.3006,85.70297,21.275707,17.34096,20.70501,17.644966,13.570176,10.16752,7.7856617,8.905485,7.2990766,8.306489,10.729147
24.wav,-568.0279,104.27117,22.095673,28.189466,4.7124496,-0.27873155,0.8389304,7.0284977,-6.114762,4.9801545,-2.8038282,6.2258663,-4.0089264,119.629425,79.98571,35.120853,22.129835,18.17049,16.79192,9.361942,8.049522,9.969763,7.0226717,8.282494,8.553652,8.10565
69.wav,-574.13574,109.215546,19.94918,25.255009,16.742579,3.2949426,-3.6760237,2.866603,1.1467369,0.9863007,4.1930504,2.0824375,-4.8731613,114.60218,81.616615,21.201557,19.222435,15.097243,9.957109,13.543004,8.840264,7.9680295,8.227966,6.3696923,7.4289584,9.40859
12.wav,-577.4773,93.634514,13.871762,27.098635,10.5344095,2.8754938,-3.7117383,5.6366887,-6.3200393,6.899701,-4.1876793,9.183919,-4.409152,121.860565,76.47634,21.79292,15.9044895,14.396259,14.228104,14.050792,8.797133,8.001978,9.344605,8.0131035,7.306709,8.690831
6.wav,-571.3218,90.03426,12.749698,26.016369,13.284025,2.3793693,-0.99656713,2.5102332,-4.857919,6.6684346,-1.4524935,3.4135747,-4.5799475,118.181526,78.261505,24.046669,18.121689,19.14693,11.737005,13.225931,9.388691,7.709651,8.01938,8.102484,8.06032,11.1149435
58.wav,-579.7383,102.26039,19.588541,25.515146,14.657566,2.2649465,-3.4305546,2.2000835,-0.8677116,1.8718303,-2.4694598,3.3732285,-0.090793215,117.4084,81.41157,22.754965,20.944202,17.326408,13.412157,14.731549,10.386362,10.371592,7.946664,7.6889553,7.5173516,7.2172
31.wav,-578.64435,112.93167,20.492317,30.74619,16.78191,1.7356075,-8.404537,4.048919,0.09308987,0.42422035,-1.6711787,2.6428535,-1.5992179,114.978424,78.47276,29.03708,17.910004,19.896963,16.570633,14.531012,12.017936,9.416274,8.717365,7.741896,7.177808,8.126051
